Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Macon,"41,194","41,400","44,785",0.5,8.2
Madison,"35,657","37,034","40,312",3.9,8.9
Maries,"32,504","34,764","37,638",7.0,8.3
Marion,"39,992","41,119","44,121",2.8,7.3
Mercer,"30,926","31,725","35,358",2.6,11.5
Miller,"35,460","36,124","39,349",1.9,8.9
Mississippi,"29,749","31,838","37,483",7.0,17.7
Moniteau,"35,508","37,826","41,930",6.5,10.8
Monroe,"38,807","41,105","44,528",5.9,8.3
Montgomery,"39,565","41,711","46,688",5.4,11.9
Morgan,"41,208","41,653","42,880",1.1,2.9
New Madrid,"33,001","37,493","41,953",13.6,11.9
Newton,"38,594","39,704","41,771",2.9,5.2
Nodaway,"30,828","32,782","36,315",6.3,10.8
Oregon,"29,404","30,634","33,166",4.2,8.3
Osage,"43,953","45,571","49,250",3.7,8.1
Ozark,"30,772","31,228","33,722",1.5,8.0
Pemiscot,"33,817","36,420","40,931",7.7,12.4
Perry,"41,085","42,152","45,002",2.6,6.8
Pettis,"37,080","38,247","40,971",3.1,7.1
Phelps,"39,077","39,916","42,030",2.1,5.3
Pike,"33,280","36,631","40,471",10.1,10.5
Platte,"58,013","58,794","60,698",1.3,3.2
Polk,"34,060","35,248","36,944",3.5,4.8
Pulaski,"39,580","41,866","44,732",5.8,6.8
Putnam,"34,489","35,844","39,308",3.9,9.7
Ralls,"38,145","39,925","44,688",4.7,11.9
Randolph,"38,996","39,385","42,615",1.0,8.2
Ray,"41,923","43,317","46,047",3.3,6.3
Reynolds,"33,863","35,427","38,107",4.6,7.6
Ripley,"30,410","31,050","34,297",2.1,10.5
St. Charles,"53,760","55,138","56,879",2.6,3.2
St. Clair,"28,954","30,219","33,058",4.4,9.4
Ste. Genevieve,"41,079","41,903","44,925",2.0,7.2
St. Francois,"34,122","34,982","37,377",2.5,6.8
St. Louis,"71,604","74,361","78,804",3.9,6.0
Saline,"36,194","38,156","43,076",5.4,12.9
Schuyler,"29,500","29,553","33,550",0.2,13.5
Scotland,"32,240","34,488","41,576",7.0,20.6
Scott,"39,991","41,315","44,148",3.3,6.9
Shannon,"29,950","30,499","33,071",1.8,8.4
Shelby,"37,606","39,963","45,373",6.3,13.5
Stoddard,"34,704","37,650","41,158",8.5,9.3
Stone,"38,662","40,138","41,975",3.8,4.6
Sullivan,"36,809","38,963","44,877",5.9,15.2
Taney,"36,181","37,146","38,859",2.7,4.6
Texas,"28,041","29,601","32,774",5.6,10.7
Vernon,"34,157","35,089","39,496",2.7,12.6
Warren,"41,825","42,665","45,011",2.0,5.5
Washington,"29,726","30,752","33,148",3.5,7.8
Wayne,"29,545","31,094","34,018",5.2,9.4
Webster,"32,445","33,841","35,845",4.3,5.9
Worth,"34,001","37,652","41,861",10.7,11.2
Wright,"32,044","32,792","35,480",2.3,8.2
St. Louis City,"46,129","48,683","51,041",5.5,4.8
Montana,"48,021","50,099","53,361",4.3,6.5
Beaverhead,"45,349","48,070","52,501",6.0,9.2
Big Horn,"30,023","31,515","35,950",5.0,14.1
Blaine,"29,952","30,806","36,301",2.9,17.8
Broadwater,"43,116","45,732","48,786",6.1,6.7
Carbon,"51,259","53,870","56,900",5.1,5.6
Carter,"41,173","40,733","53,760",-1.1,32.0
Cascade,"47,529","49,201","52,226",3.5,6.1
Chouteau,"37,561","40,738","48,627",8.5,19.4
Custer,"44,581","47,174","51,268",5.8,8.7
Daniels,"47,574","49,331","64,205",3.7,30.2
Dawson,"46,795","46,622","50,972",-0.4,9.3
Deer Lodge,"38,910","40,985","45,039",5.3,9.9
Fallon,"48,488","49,763","54,203",2.6,8.9
Fergus,"42,019","45,588","48,900",8.5,7.3
Flathead,"48,333","50,144","52,740",3.7,5.2
Gallatin,"57,091","60,195","63,432",5.4,5.4
Garfield,"33,531","33,179","44,812",-1.0,35.1
Glacier,"34,427","37,035","41,773",7.6,12.8
Golden Valley,"48,783","50,027","56,481",2.6,12.9
Granite,"43,710","45,815","49,242",4.8,7.5
Hill,"45,108","45,987","50,018",1.9,8.8
Jefferson,"47,812","50,147","52,770",4.9,5.2
Judith Basin,"46,207","49,496","56,953",7.1,15.1
Lake,"39,371","40,842","44,068",3.7,7.9
Lewis and Clark,"48,692","50,915","54,040",4.6,6.1
Liberty,"37,409","45,195","51,268",20.8,13.4
Lincoln,"36,262","37,725","41,129",4.0,9.0
McCone,"36,640","39,147","48,924",6.8,25.0
Madison,"50,373","53,651","57,112",6.5,6.5
Meagher,"43,282","45,173","49,730",4.4,10.1
Mineral,"39,762","39,759","43,233",0.0,8.7
Missoula,"49,616","51,738","54,353",4.3,5.1
Musselshell,"44,064","46,093","49,756",4.6,7.9
Park,"49,790","52,934","55,213",6.3,4.3
Petroleum,"31,304","33,189","41,080",6.0,23.8
Phillips,"39,732","41,271","48,341",3.9,17.1
Pondera,"42,985","49,754","56,218",15.7,13.0
Powder River,"32,647","34,282","44,756",5.0,30.6
Powell,"41,785","43,912","47,024",5.1,7.1
Prairie,"48,723","47,483","57,918",-2.5,22.0
Ravalli,"45,201","47,253","49,860",4.5,5.5
Richland,"60,290","62,491","63,761",3.7,2.0
Roosevelt,"35,907","36,309","41,531",1.1,14.4
Rosebud,"43,776","45,239","50,566",3.3,11.8
Sanders,"35,851","37,345","41,398",4.2,10.9
Sheridan,"46,547","50,463","61,236",8.4,21.3
Silver Bow,"47,686","48,263","50,672",1.2,5.0
Stillwater,"52,948","54,288","57,382",2.5,5.7
Sweet Grass,"46,324","49,597","54,287",7.1,9.5
Teton,"46,228","48,870","53,172",5.7,8.8
Toole,"48,545","53,369","60,089",9.9,12.6
Treasure,"51,187","56,758","66,721",10.9,17.6
Valley,"45,634","47,510","54,556",4.1,14.8
Wheatland,"35,084","38,608","42,348",10.0,9.7
Wibaux,"37,860","41,155","48,913",8.7,18.9
Yellowstone,"52,508","54,213","56,588",3.2,4.4
Nebraska,"52,560","54,037","57,570",2.8,6.5
Adams,"48,052","50,017","53,232",4.1,6.4
Antelope,"49,157","55,033","69,121",12.0,25.6
Arthur,"44,076","46,098","53,618",4.6,16.3
Banner,"49,901","50,306","59,097",0.8,17.5
Blaine,"55,124","60,424","70,372",9.6,16.5
Boone,"51,585","58,601","69,564",13.6,18.7
Box Butte,"47,790","49,193","53,723",2.9,9.2
Boyd,"50,777","56,197","62,078",10.7,10.5
Brown,"50,644","55,182","60,280",9.0,9.2
Buffalo,"55,710","57,582","60,230",3.4,4.6
Burt,"45,269","49,088","53,602",8.4,9.2
Butler,"46,867","49,790","56,101",6.2,12.7
Cass,"51,466","53,998","57,220",4.9,6.0
Cedar,"48,285","50,389","58,373",4.4,15.8
Chase,"52,000","58,777","68,843",13.0,17.1
Cherry,"42,250","44,279","50,817",4.8,14.8
Cheyenne,"48,499","48,234","50,334",-0.5,4.4
Clay,"48,136","51,089","57,104",6.1,11.8
Colfax,"41,567","43,925","49,977",5.7,13.8
Cuming,"58,655","64,624","71,653",10.2,10.9
Custer,"45,353","48,095","54,458",6.0,13.2
Dakota,"41,843","44,062","47,062",5.3,6.8
Dawes,"36,886","38,323","43,101",3.9,12.5
Dawson,"42,358","44,940","49,096",6.1,9.2
Deuel,"42,827","40,437","43,738",-5.6,8.2
Dixon,"40,648","44,444","49,974",9.3,12.4
Dodge,"46,491","49,231","52,445",5.9,6.5
Douglas,"62,536","63,072","65,737",0.9,4.2
Dundy,"66,134","71,079","86,360",7.5,21.5
Fillmore,"55,061","57,255","63,206",4.0,10.4
Franklin,"46,042","49,798","57,959",8.2,16.4
Frontier,"37,562","38,425","46,216",2.3,20.3
Furnas,"41,781","45,337","53,727",8.5,18.5
Gage,"47,234","48,993","52,843",3.7,7.9
Garden,"43,386","46,002","50,671",6.0,10.1
Garfield,"38,679","41,582","47,856",7.5,15.1
Gosper,"46,389","49,937","59,049",7.6,18.2
Grant,"42,251","47,447","54,922",12.3,15.8
Greeley,"43,665","46,749","56,500",7.1,20.9
Hall,"43,251","44,457","47,793",2.8,7.5
Hamilton,"53,269","55,198","61,230",3.6,10.9
Harlan,"48,354","51,888","57,828",7.3,11.4
Hayes,"59,047","65,255","79,926",10.5,22.5
Hitchcock,"37,020","39,694","46,667",7.2,17.6
Holt,"50,052","51,745","59,853",3.4,15.7
Hooker,"49,972","47,804","54,516",-4.3,14.0
Howard,"42,807","45,971","50,857",7.4,10.6
Jefferson,"46,852","48,555","53,407",3.6,10.0
Johnson,"33,941","35,813","39,498",5.5,10.3
Kearney,"51,964","55,393","61,585",6.6,11.2
Keith,"46,216","47,398","51,040",2.6,7.7
Keya Paha,"49,059","49,847","66,705",1.6,33.8
Kimball,"44,821","44,529","50,075",-0.7,12.5
Knox,"45,053","46,679","53,356",3.6,14.3
Lancaster,"49,449","50,510","52,887",2.1,4.7
Lincoln,"48,335","49,610","54,043",2.6,8.9
Logan,"51,024","49,181","58,616",-3.6,19.2
Loup,"52,250","52,624","61,740",0.7,17.3
McPherson,"42,520","45,197","62,907",6.3,39.2
Madison,"49,412","51,413","55,104",4.0,7.2
Merrick,"42,782","46,880","50,870",9.6,8.5
Morrill,"52,631","56,516","63,120",7.4,11.7
Nance,"35,316","39,292","46,091",11.3,17.3
Nemaha,"46,286","48,589","51,548",5.0,6.1
Nuckolls,"48,906","51,840","59,449",6.0,14.7
Otoe,"52,757","54,989","57,873",4.2,5.2
Pawnee,"43,293","43,594","51,436",0.7,18.0
Perkins,"53,314","62,624","71,191",17.5,13.7
Phelps,"50,321","53,449","59,324",6.2,11.0
Pierce,"53,362","57,173","62,493",7.1,9.3
Platte,"46,316","48,042","52,316",3.7,8.9
Polk,"50,763","53,391","57,312",5.2,7.3
Red Willow,"44,441","46,409","52,196",4.4,12.5
Richardson,"47,393","49,555","54,773",4.6,10.5
Rock,"58,222","59,531","72,590",2.2,21.9
Saline,"41,949","43,935","47,785",4.7,8.8
Sarpy,"51,167","52,380","55,173",2.4,5.3
Saunders,"51,349","53,414","56,892",4.0,6.5
Scotts Bluff,"44,183","45,388","49,048",2.7,8.1
Seward,"50,032","51,580","56,220",3.1,9.0
Sheridan,"45,565","49,061","56,597",7.7,15.4
Sherman,"40,422","43,915","50,461",8.6,14.9
Sioux,"53,759","55,894","64,440",4.0,15.3
Stanton,"43,178","45,713","52,621",5.9,15.1
Thayer,"51,546","54,402","60,659",5.5,11.5
Thomas,"53,385","53,003","57,805",-0.7,9.1
Thurston,"36,075","39,140","45,789",8.5,17.0
Valley,"45,977","49,408","59,867",7.5,21.2
Washington,"55,607","58,047","60,738",4.4,4.6
Wayne,"42,332","44,259","49,143",4.6,11.0
Webster,"45,901","49,541","53,815",7.9,8.6
Wheeler,"55,761","68,540","70,710",22.9,3.2
York,"48,434","50,703","56,457",4.7,11.3
,,,,,
Nevada,"49,424","51,419","53,720",4.0,4.5
Churchill,"44,965","46,149","50,081",2.6,8.5
Clark,"47,184","49,225","51,244",4.3,4.1
Douglas,"72,605","75,241","78,416",3.6,4.2
Elko,"46,542","47,785","50,429",2.7,5.5
Esmeralda,"38,802","43,025","42,962",10.9,-0.1
Eureka,"38,085","42,637","46,792",12.0,9.7
Humboldt,"46,106","48,853","51,772",6.0,6.0
Lander,"66,040","69,494","72,931",5.2,4.9
Lincoln,"37,022","39,793","43,357",7.5,9.0
Lyon,"39,137","40,313","44,098",3.0,9.4
Mineral,"37,652","41,261","48,982",9.6,18.7
Nye,"38,414","39,673","41,367",3.3,4.3
Pershing,"32,047","33,337","37,906",4.0,13.7
Storey,"57,763","58,374","65,971",1.1,13.0
Washoe,"61,033","62,994","66,076",3.2,4.9
White Pine,"44,354","46,584","50,653",5.0,8.7
Carson City,"50,378","52,880","56,510",5.0,6.9
New Hampshire,"61,371","63,785","67,097",3.9,5.2
Belknap,"61,382","63,484","66,919",3.4,5.4
Carroll,"59,191","60,844","63,403",2.8,4.2
Cheshire,"51,590","53,190","56,088",3.1,5.4
Coos,"43,569","44,804","49,564",2.8,10.6
Grafton,"61,106","63,816","67,943",4.4,6.5
Hillsborough,"60,760","62,752","66,548",3.3,6.0
Merrimack,"57,516","59,936","63,839",4.2,6.5
Rockingham,"74,464","78,153","80,220",5.0,2.6
Strafford,"50,679","52,598","56,104",3.8,6.7
Sullivan,"52,583","54,260","57,602",3.2,6.2
,,,,,
New Jersey,"67,142","69,626","73,460",3.7,5.5
Atlantic,"48,110","51,247","55,802",6.5,8.9
Bergen,"85,191","88,241","91,972",3.6,4.2
Burlington,"61,140","63,528","67,154",3.9,5.7
Camden,"53,026","54,958","58,830",3.6,7.0
Cape May,"60,246","63,203","67,836",4.9,7.3
Cumberland,"39,448","41,327","45,498",4.8,10.1
Essex,"63,521","65,927","70,497",3.8,6.9
Gloucester,"54,646","56,853","60,386",4.0,6.2
Hudson,"65,090","67,570","71,682",3.8,6.1
Hunterdon,"87,934","91,946","95,088",4.6,3.4
Mercer,"68,052","70,675","74,218",3.9,5.0
Middlesex,"60,547","62,665","66,640",3.5,6.3
Monmouth,"79,249","82,270","86,091",3.8,4.6
Morris,"97,244","99,140","102,227",1.9,3.1
Ocean,"51,725","53,517","57,344",3.5,7.2
Passaic,"49,167","51,203","55,775",4.1,8.9
Salem,"47,485","50,597","54,578",6.6,7.9
Somerset,"104,620","110,466","112,825",5.6,2.1
Sussex,"61,531","64,284","67,814",4.5,5.5
Union,"67,346","68,867","72,543",2.3,5.3
Warren,"54,973","56,956","60,525",3.6,6.3
New Mexico,"41,329","43,121","46,338",4.3,7.5
Bernalillo,"43,326","45,203","48,683",4.3,7.7
Catron,"32,384","32,184","36,171",-0.6,12.4
Chaves,"39,086","40,117","43,615",2.6,8.7
Cibola,"27,651","28,979","32,755",4.8,13.0
Colfax,"39,688","41,000","45,610",3.3,11.2
Curry,"41,787","43,667","48,894",4.5,12.0
De Baca,"45,330","47,727","56,603",5.3,18.6
Doña Ana,"35,805","37,413","40,218",4.5,7.5
Eddy,"54,520","60,847","62,356",11.6,2.5
Grant,"40,554","42,599","45,561",5.0,7.0
Guadalupe,"33,752","35,168","39,140",4.2,11.3
Harding,"38,545","41,124","50,723",6.7,23.3
Hidalgo,"41,272","43,323","48,166",5.0,11.2
Lea,"47,092","49,517","47,215",5.1,-4.6
Lincoln,"40,547","41,869","44,732",3.3,6.8
Los Alamos,"70,405","73,189","76,142",4.0,4.0
Luna,"31,445","32,997","38,022",4.9,15.2
McKinley,"27,402","28,855","32,804",5.3,13.7
Mora,"38,290","40,436","45,300",5.6,12.0
Otero,"34,562","35,231","38,779",1.9,10.1
Quay,"38,961","39,870","44,691",2.3,12.1
Rio Arriba,"34,982","36,401","40,771",4.1,12.0
Roosevelt,"39,226","41,475","46,999",5.7,13.3
Sandoval,"41,843","43,977","47,257",5.1,7.5
San Juan,"35,408","36,095","38,370",1.9,6.3
San Miguel,"34,797","36,191","40,675",4.0,12.4
Santa Fe,"58,525","60,301","63,004",3.0,4.5
Sierra,"38,534","40,762","47,388",5.8,16.3
Socorro,"33,875","35,054","39,055",3.5,11.4
Taos,"37,906","38,446","42,965",1.4,11.8
Torrance,"31,670","33,301","37,276",5.1,11.9
Union,"35,192","35,939","41,932",2.1,16.7
Valencia,"34,177","35,268","38,918",3.2,10.3
New York,"67,357","69,951","74,472",3.9,6.5
Albany,"59,547","61,876","66,632",3.9,7.7
Allegany,"34,553","37,131","40,840",7.5,10.0
Bronx,"35,819","38,096","43,919",6.4,15.3
Broome,"43,487","45,174","49,314",3.9,9.2
Cattaraugus,"39,239","41,122","45,200",4.8,9.9
Cayuga,"42,031","44,415","48,585",5.7,9.4
Chautauqua,"39,900","41,443","45,357",3.9,9.4
Chemung,"43,941","45,658","49,439",3.9,8.3
Chenango,"41,715","43,286","47,842",3.8,10.5
Clinton,"43,216","44,859","48,292",3.8,7.7
Columbia,"55,163","57,136","60,859",3.6,6.5
Cortland,"40,368","41,412","45,776",2.6,10.5
Delaware,"39,271","42,523","45,822",8.3,7.8
Dutchess,"55,799","58,417","62,319",4.7,6.7
Erie,"50,435","52,264","56,748",3.6,8.6
Essex,"45,638","47,329","50,824",3.7,7.4
Franklin,"37,264","39,307","42,525",5.5,8.2
Fulton,"42,812","44,478","48,957",3.9,10.1
Genesee,"43,618","45,200","49,468",3.6,9.4
Greene,"47,044","48,947","52,484",4.0,7.2
Hamilton,"54,330","55,730","60,014",2.6,7.7
Herkimer,"40,795","43,347","47,266",6.3,9.0
Jefferson,"46,375","48,896","53,964",5.4,10.4
Kings,"51,730","54,349","59,468",5.1,9.4
Lewis,"44,539","47,134","51,992",5.8,10.3
Livingston,"45,845","46,116","49,382",0.6,7.1
Madison,"43,607","45,453","49,137",4.2,8.1
Monroe,"52,173","54,174","58,299",3.8,7.6
Montgomery,"40,534","41,995","46,332",3.6,10.3
Nassau,"89,242","92,159","96,253",3.3,4.4
New York,"184,539","187,213","191,220",1.4,2.1
Niagara,"44,569","47,053","51,506",5.6,9.5
Oneida,"43,917","46,529","50,201",5.9,7.9
Onondaga,"52,624","54,379","58,919",3.3,8.3
Ontario,"53,151","55,315","59,335",4.1,7.3
Orange,"51,247","53,287","57,688",4.0,8.3
Orleans,"38,959","39,798","44,477",2.2,11.8
Oswego,"40,067","42,047","46,210",4.9,9.9
Otsego,"43,670","45,672","49,275",4.6,7.9
Putnam,"66,740","69,542","73,152",4.2,5.2
Queens,"49,212","51,530","57,085",4.7,10.8
Rensselaer,"48,618","50,481","54,748",3.8,8.5
Richmond,"55,695","57,990","62,558",4.1,7.9
Rockland,"60,111","62,206","66,350",3.5,6.7
St. Lawrence,"37,707","39,373","43,034",4.4,9.3
Saratoga,"70,010","72,219","77,398",3.2,7.2
Schenectady,"48,718","54,310","58,210",11.5,7.2
Schoharie,"41,084","42,648","46,469",3.8,9.0
Schuyler,"41,357","42,703","46,971",3.3,10.0
Seneca,"38,284","40,299","44,065",5.3,9.3
Steuben,"44,869","46,726","50,331",4.1,7.7
Suffolk,"69,209","72,180","76,713",4.3,6.3
Sullivan,"45,993","48,550","52,249",5.6,7.6
Tioga,"44,811","46,818","50,990",4.5,8.9
Tompkins,"44,692","46,052","49,486",3.0,7.5
Ulster,"50,378","52,554","56,071",4.3,6.7
Warren,"52,542","54,650","59,509",4.0,8.9
Washington,"40,089","42,122","46,305",5.1,9.9
Wayne,"45,732","48,162","51,282",5.3,6.5
Westchester,"107,252","112,037","115,386",4.5,3.0
Wyoming,"39,872","42,682","47,331",7.0,10.9
Yates,"39,082","41,632","45,258",6.5,8.7
North Carolina,"45,758","47,660","50,305",4.2,5.5
Alamance,"39,742","41,256","43,973",3.8,6.6
Alexander,"36,539","37,758","40,176",3.3,6.4
Alleghany,"36,576","37,987","40,599",3.9,6.9
Anson,"35,135","37,741","38,785",7.4,2.8
Ashe,"34,791","36,643","39,612",5.3,8.1
Avery,"35,335","36,896","39,437",4.4,6.9
Beaufort,"41,331","43,878","46,363",6.2,5.7
Bertie,"35,216","37,557","40,351",6.6,7.4
Bladen,"34,040","35,601","39,264",4.6,10.3
Brunswick,"44,497","45,128","46,829",1.4,3.8
Buncombe,"48,819","50,804","53,309",4.1,4.9
Burke,"34,881","36,022","38,946",3.3,8.1
Cabarrus,"45,352","46,826","49,679",3.3,6.1
Caldwell,"34,896","36,141","38,894",3.6,7.6
Camden,"44,413","45,839","48,642",3.2,6.1
Carteret,"47,910","50,531","53,276",5.5,5.4
Caswell,"34,413","36,032","39,265",4.7,9.0
Catawba,"44,528","46,184","49,193",3.7,6.5
Chatham,"63,068","64,978","66,766",3.0,2.8
Cherokee,"31,996","34,072","36,620",6.5,7.5
Chowan,"40,326","42,376","45,388",5.1,7.1
Clay,"33,043","34,901","37,625",5.6,7.8
Cleveland,"36,920","38,859","41,616",5.3,7.1
Columbus,"31,827","33,376","37,112",4.9,11.2
Craven,"42,495","45,308","48,832",6.6,7.8
Cumberland,"37,919","39,799","42,992",5.0,8.0
Currituck,"45,460","46,911","49,152",3.2,4.8
Dare,"54,295","56,573","59,240",4.2,4.7
Davidson,"38,966","40,647","43,348",4.3,6.6
Davie,"47,774","49,964","52,153",4.6,4.4
Duplin,"33,314","35,354","37,872",6.1,7.1
Durham,"49,557","51,380","54,056",3.7,5.2
Edgecombe,"34,443","36,237","39,394",5.2,8.7
Forsyth,"47,037","48,756","51,323",3.7,5.3
Franklin,"36,088","36,826","39,490",2.0,7.2
Gaston,"39,851","41,330","44,103",3.7,6.7
Gates,"36,883","38,915","41,571",5.5,6.8
Graham,"33,017","35,055","37,943",6.2,8.2
Granville,"38,053","40,359","42,807",6.1,6.1
Greene,"30,343","32,088","34,811",5.8,8.5
Guilford,"45,234","47,013","49,856",3.9,6.0
Halifax,"35,342","37,146","39,680",5.1,6.8
Harnett,"34,359","35,873","38,280",4.4,6.7
Haywood,"39,540","41,523","43,754",5.0,5.4
Henderson,"43,626","45,680","47,385",4.7,3.7
Hertford,"31,222","32,717","36,216",4.8,10.7
Hoke,"31,402","32,845","35,411",4.6,7.8
Hyde,"35,397","39,776","42,832",12.4,7.7
Iredell,"51,163","53,465","56,201",4.5,5.1
Jackson,"33,255","35,663","38,341",7.2,7.5
Johnston,"40,272","41,318","44,087",2.6,6.7
Jones,"37,400","41,434","43,254",10.8,4.4
Lee,"40,923","42,390","44,870",3.6,5.9
Lenoir,"39,285","40,990","44,361",4.3,8.2
Lincoln,"45,514","47,322","50,216",4.0,6.1
McDowell,"34,190","35,086","37,858",2.6,7.9
Macon,"39,243","41,654","44,564",6.1,7.0
Madison,"33,747","35,888","38,148",6.3,6.3
Martin,"33,431","35,403","38,301",5.9,8.2
Mecklenburg,"60,804","62,846","65,244",3.4,3.8
Mitchell,"35,781","37,046","39,476",3.5,6.6
Montgomery,"35,608","36,850","39,353",3.5,6.8
Moore,"50,526","52,441","54,514",3.8,4.0
Nash,"41,564","43,315","45,890",4.2,5.9
New Hanover,"46,049","48,558","50,780",5.4,4.6
Northampton,"33,506","36,080","38,402",7.7,6.4
Onslow,"40,077","40,671","43,122",1.5,6.0
Orange,"62,393","65,530","67,089",5.0,2.4
Pamlico,"40,568","42,848","45,994",5.6,7.3
Pasquotank,"37,819","39,521","42,529",4.5,7.6
Pender,"37,403","39,418","41,292",5.4,4.8
Perquimans,"39,284","41,234","44,402",5.0,7.7
Person,"37,342","39,038","41,581",4.5,6.5
Pitt,"41,163","42,882","45,169",4.2,5.3
Polk,"43,276","46,661","48,125",7.8,3.1
Randolph,"37,378","38,935","41,231",4.2,5.9
Richmond,"34,157","35,434","38,554",3.7,8.8
Robeson,"28,846","30,552","33,062",5.9,8.2
Rockingham,"36,586","38,057","40,672",4.0,6.9
Rowan,"38,338","40,714","43,724",6.2,7.4
Rutherford,"32,180","34,065","36,714",5.9,7.8
Sampson,"33,889","35,805","38,165",5.7,6.6
Scotland,"32,428","33,895","36,247",4.5,6.9
Stanly,"38,545","39,931","42,613",3.6,6.7
Stokes,"37,340","38,775","41,186",3.8,6.2
Surry,"37,875","39,696","42,133",4.8,6.1
Swain,"38,462","40,824","44,213",6.1,8.3
Transylvania,"41,102","43,065","44,747",4.8,3.9
Tyrrell,"29,285","33,699","37,638",15.1,11.7
Union,"52,475","54,534","56,820",3.9,4.2
Vance,"33,643","35,002","37,774",4.0,7.9
Wake,"60,330","62,657","65,450",3.9,4.5
Warren,"29,228","30,317","33,779",3.7,11.4
Washington,"34,454","36,780","39,912",6.8,8.5
Watauga,"36,704","38,652","40,157",5.3,3.9
Wayne,"38,115","40,116","42,882",5.2,6.9
Wilkes,"36,445","37,309","39,518",2.4,5.9
Wilson,"39,158","40,260","43,111",2.8,7.1
Yadkin,"37,328","39,012","41,250",4.5,5.7
Yancey,"36,475","38,011","40,422",4.2,6.3
North Dakota,"56,340","58,163","61,530",3.2,5.8
Adams,"46,920","49,382","59,255",5.2,20.0
Barnes,"52,638","56,985","64,242",8.3,12.7
Benson,"36,824","36,229","45,003",-1.6,24.2
Billings,"78,008","81,562","82,466",4.6,1.1
Bottineau,"62,199","61,826","68,631",-0.6,11.0
Bowman,"61,172","68,298","68,963",11.6,1.0
Burke,"73,840","76,582","77,237",3.7,0.9
Burleigh,"59,381","61,147","62,801",3.0,2.7
Cass,"57,597","59,415","61,899",3.2,4.2
Cavalier,"74,820","64,238","88,702",-14.1,38.1
Dickey,"54,902","63,334","71,888",15.4,13.5
Divide,"52,531","55,971","62,052",6.5,10.9
Dunn,"63,808","67,270","68,491",5.4,1.8
Eddy,"59,883","60,794","74,844",1.5,23.1
Emmons,"49,479","51,194","64,430",3.5,25.9
Foster,"61,268","61,967","76,313",1.1,23.2
Golden Valley,"37,752","39,030","46,435",3.4,19.0
Grand Forks,"51,496","53,381","57,659",3.7,8.0
Grant,"43,023","45,297","57,761",5.3,27.5
Griggs,"57,992","58,748","73,753",1.3,25.5
Hettinger,"48,395","50,384","59,519",4.1,18.1
Kidder,"51,092","53,103","64,918",3.9,22.2
LaMoure,"52,791","60,161","70,351",14.0,16.9
Logan,"53,489","51,572","59,859",-3.6,16.1
McHenry,"53,196","52,552","59,320",-1.2,12.9
McIntosh,"55,917","60,988","70,812",9.1,16.1
McKenzie,"68,494","67,761","64,035",-1.1,-5.5
McLean,"56,859","61,260","66,025",7.7,7.8
Mercer,"58,663","58,923","60,497",0.4,2.7
Morton,"53,084","54,782","57,708",3.2,5.3
Mountrail,"64,063","65,591","64,982",2.4,-0.9
Nelson,"60,783","61,641","75,907",1.4,23.1
Oliver,"44,851","45,805","52,076",2.1,13.7
Pembina,"58,930","60,963","72,827",3.4,19.5
Pierce,"51,064","48,329","57,159",-5.4,18.3
Ramsey,"49,414","50,171","57,250",1.5,14.1
Ransom,"54,827","59,123","65,153",7.8,10.2
Renville,"75,079","71,625","80,431",-4.6,12.3
Richland,"49,981","52,375","54,465",4.8,4.0
Rolette,"36,026","36,455","41,884",1.2,14.9
Sargent,"55,738","62,704","67,215",12.5,7.2
Sheridan,"48,170","47,192","58,958",-2.0,24.9
Sioux,"27,710","28,194","33,675",1.7,19.4
Slope,"40,838","45,086","60,039",10.4,33.2
Stark,"62,343","65,914","63,650",5.7,-3.4
Steele,"55,133","62,811","84,674",13.9,34.8
Stutsman,"51,666","54,679","62,694",5.8,14.7
Towner,"70,334","59,474","87,632",-15.4,47.3
Traill,"50,381","54,952","64,096",9.1,16.6
Walsh,"51,266","52,544","63,790",2.5,21.4
Ward,"54,284","56,161","57,492",3.5,2.4
Wells,"59,809","60,817","79,403",1.7,30.6
Williams,"70,474","69,619","64,850",-1.2,-6.9
Ohio,"48,778","50,201","53,641",2.9,6.9
Adams,"34,849","35,553","39,658",2.0,11.5
Allen,"42,427","43,268","46,500",2.0,7.5
Ashland,"38,595","39,969","43,041",3.6,7.7
Ashtabula,"38,923","40,039","43,597",2.9,8.9
Athens,"33,402","34,387","36,642",2.9,6.6
Auglaize,"48,735","49,225","52,330",1.0,6.3
Belmont,"42,836","41,735","43,354",-2.6,3.9
Brown,"37,428","38,935","42,275",4.0,8.6
Butler,"47,498","49,959","52,598",5.2,5.3
Carroll,"39,504","40,997","44,624",3.8,8.8
Champaign,"41,353","42,403","46,605",2.5,9.9
Clark,"40,263","41,625","45,363",3.4,9.0
Clermont,"53,893","57,571","60,535",6.8,5.1
Clinton,"45,082","45,049","48,542",-0.1,7.8
Columbiana,"38,282","39,387","42,771",2.9,8.6
Coshocton,"35,262","36,258","39,640",2.8,9.3
Crawford,"38,720","39,667","43,918",2.4,10.7
Cuyahoga,"54,612","55,998","59,923",2.5,7.0
Darke,"43,987","44,202","48,088",0.5,8.8
Defiance,"40,995","41,905","45,385",2.2,8.3
Delaware,"74,837","76,131","79,382",1.7,4.3
Erie,"60,406","55,748","56,732",-7.7,1.8
